"State/Union Territory/District","Census Year",Persons,"Variation since the preceding census ",,Males,Females,,
Firozpur,1981,1168465,231842,24.752968910650281,620315,548150,,
Firozpur,1991,1448903,280438,24.000547727146298,764488,684415,,
Firozpur,2001,1746107,297204,20.512346237118702,926224,819883,,
Firozpur,2011,2029074,282967,16.205593357108128,1071637,957437,,
,,,,,,,,
Muktsar,1901,N.A,-,-,N.A.,N.A.,,
Muktsar,1911,N.A,N.A,N.A,N.A.,N.A.,,
Muktsar,1921,N.A,N.A,N.A,N.A.,N.A.,,
Muktsar,1931,N.A,N.A,N.A,N.A.,N.A.,,
Muktsar,1941,N.A,N.A,N.A,N.A.,N.A.,,
Muktsar,1951,266498,N.A,N.A,143135,123363,,
Muktsar,1961,382776,116278,43.631847143318147,207348,175428,,
Muktsar,1971,430991,48215,12.596139778878509,231402,199589,,
Muktsar,1981,547394,116403,27.00822058929305,290428,256966,,
Muktsar,1991,654434,107040,19.554470819921299,348146,306288,,
Muktsar,2001,777493,123059,18.80388243887084,411217,366276,,
Muktsar,2011,901896,124403,16.000529908307858,475622,426274,,
,,,,,,,,
Faridkot,1901,N.A,-,-,N.A.,N.A.,,
Faridkot,1911,N.A,N.A,N.A,N.A.,N.A.,,
Faridkot,1921,N.A,N.A,N.A,N.A.,N.A.,,
Faridkot,1931,N.A,N.A,N.A,N.A.,N.A.,,
Faridkot,1941,N.A,N.A,N.A,N.A.,N.A.,,
Faridkot,1951,182145,N.A,N.A,98135,84010,,
Faridkot,1961,244718,62573,34.353399763924344,132344,112374,,
Faridkot,1971,293475,48757,19.923748968200133,157258,136217,,
Faridkot,1981,370556,77081,26.264928869580032,197196,173360,,
Faridkot,1991,455005,84449,22.789807748356523,241690,213315,,
Faridkot,2001,550892,95887,21.073834353468644,292596,258296,,
Faridkot,2011,617508,66616,12.092388344720925,326671,290837,,
,,,,,,,,
Bathinda,1901,N.A,-,-,N.A.,N.A.,,
Bathinda,1911,N.A,N.A,N.A,N.A.,N.A.,,
Bathinda,1921,N.A,N.A,N.A,N.A.,N.A.,,
Bathinda,1931,N.A,N.A,N.A,N.A.,N.A.,,
Bathinda,1941,N.A,N.A,N.A,N.A.,N.A.,,
Bathinda,1951,377757,N.A,N.A,205420,172337,,
Bathinda,1961,509031,131274,34.750911300121508,277505,231526,,
Bathinda,1971,623172,114141,22.423192300665381,336729,286443,,
Bathinda,1981,817764,194592,31.226049950896382,439350,378414,,
Bathinda,1991,985301,167537,20.487206577936909,522961,462340,,
Bathinda,2001,1183295,197994,20.094773069346321,632809,550486,,
Bathinda,2011,1388525,205230,17.343942127702729,743197,645328,,
,,,,,,,,
Mansa,1901,N.A,-,-,N.A.,N.A.,,
Mansa,1911,N.A,N.A,N.A,N.A.,N.A.,,
Mansa,1921,N.A,N.A,N.A,N.A.,N.A.,,
Mansa,1931,N.A,N.A,N.A,N.A.,N.A.,,
Mansa,1941,N.A,N.A,N.A,N.A.,N.A.,,
Mansa,1951,241932,N.A,N.A,132617,109315,,
Mansa,1961,319389,77457,32.016021030702845,174541,144848,,
Mansa,1971,402099,82710,25.89632078750364,217069,185030,,
Mansa,1981,486842,84743,21.075158107829168,260465,226377,,
Mansa,1991,574662,87820,18.03870660296359,306888,267774,,
Mansa,2001,688758,114096,19.854453574448982,366446,322312,,
Mansa,2011,769751,80993,11.759282650800426,408732,361019,,
,,,,,,,,
Patiala,1901,N.A,-,-,N.A,N.A,,
Patiala,1911,N.A,N.A,N.A,N.A,N.A,,
Patiala,1921,N.A,N.A,N.A,N.A,N.A,,
Patiala,1931,N.A,N.A,N.A,N.A,N.A,,
Patiala,1941,N.A,N.A,N.A,N.A,N.A,,
Patiala,1951,482517,N.A,N.A,267786,214731,,
Patiala,1961,673730,191213,39.628241077516442,368447,305283,,
Patiala,1971,855029,181299,26.909741291021625,462239,392790,,
Patiala,1981,1112368,257339,30.097107817395667,594533,517835,,
Patiala,1991,1343517,231149,20.779903772852151,713261,630256,,
Patiala,2001,1584780,241263,17.957569572993865,845230,739550,,
Patiala,2011,1895686,310906,19.61824354169033,1002522,893164,,
,,,,,,,,
Amritsar,1901,764821,-,-,418177,346644,,
Amritsar,1911,657936,-106885,-13.975165430865523,369392,288544,,
Amritsar,1921,694261,36325,5.5210537195107126,386653,307608,,
Amritsar,1931,834497,140236,20.199319852332192,462835,371662,,
Amritsar,1941,1044457,209960,25.160066483162911,567191,477266,,
Amritsar,1951,880667,-163790,-15.681832760946596,482124,398543,,
Amritsar,1961,1010093,129426,14.696360826509906,548489,461604,,
Amritsar,1971,1209374,199281,19.728975450775323,652684,556690,,
Amritsar,1981,1460497,251123,20.764709676245726,781156,679341,,
Amritsar,1991,1698090,237593,16.267955360401288,904280,793810,,
Amritsar,2001,2157020,458930,27.026247136488642,1152821,1004199,,
Amritsar,2011,2490656,333636,15.467450464066165,1318408,1172248,,
,,,,,,,,
"Tarn Taran",1901,422024,-,-,230747,191277,,
"Tarn Taran",1911,363045,-58979,-13.975271548537524,203828,159217,,
"Tarn Taran",1921,383090,20045,5.5213541021085542,213354,169736,,
"Tarn Taran",1931,460470,77380,20.198908872588685,255390,205080,,
"Tarn Taran",1941,576325,115855,25.160162442721568,312972,263353,,
"Tarn Taran",1951,485947,-90378,-15.681776775257017,260063,225884,,
"Tarn Taran",1961,524117,38170,7.8547660547343643,278957,245160,,
"Tarn Taran",1971,626166,102049,19.470652545137821,336262,289904,,
"Tarn Taran",1981,728142,101976,16.285777253955022,388807,339335,,
"Tarn Taran",1991,806944,78802,10.82233959859478,433475,373469,,
"Tarn Taran",2001,939057,132113,16.372015901970894,497768,441289,,
"Tarn Taran",2011,1119627,180570,19.228864701503742,589369,530258,,
,,,,,,,,
Rupnagar,1901,220055,-,-,121789,98266,,
Rupnagar,1911,190585,-29470,-13.392106518824839,108507,82079,,
Rupnagar,1921,189159,-1426,-0.74822257785240176,106229,82930,,
Rupnagar,1931,207804,18645,9.8567871473205084,116125,91679,,
Rupnagar,1941,236725,28921,13.917441435198553,131387,105338,,
Rupnagar,1951,251804,15079,6.3698384201077198,139121,112683,,
Rupnagar,1961,319389,67585,26.84032024908262,175871,143518,,
Rupnagar,1971,357783,38394,12.021077745319971,191057,166726,,
Rupnagar,1981,439165,81382,22.746189729528794,233407,205758,,
Rupnagar,1991,535970,96805,22.042967905001536,284088,251882,,
Rupnagar,2001,628846,92876,17.328581823609529,332949,295897,,
Rupnagar,2011,684627,55781,8.8703752588074032,357485,327142,,
,,,,,,,,
"Sahibzada Ajit Singh Nagar",1901,106038,-,-,58686,47352,,
"Sahibzada Ajit Singh Nagar",1911,91837,-14201,-13.392368773458571,52286,39551,,
"Sahibzada Ajit Singh Nagar",1921,91150,-687,-0.74806450559142834,51189,39961,,
"Sahibzada Ajit Singh Nagar",1931,100135,8985,9.8573779484366426,55957,44178,,
"Sahibzada Ajit Singh Nagar",1941,114071,13936,13.91721176411844,63312,50759,,
"Sahibzada Ajit Singh Nagar",1951,188619,74548,65.352280597171941,102916,85703,,
"Sahibzada Ajit Singh Nagar",1961,236753,48134,25.519168270428747,129984,106769,,
"Sahibzada Ajit Singh Nagar",1971,295199,58446,24.6864876052257,161214,133985,,
"Sahibzada Ajit Singh Nagar",1981,407161,111962,37.927635256216995,221314,185847,,
"Sahibzada Ajit Singh Nagar",1991,548276,141115,34.658280139797277,295678,252598,,
"Sahibzada Ajit Singh Nagar",2001,746987,198711,36.242877674747753,405560,341427,,
"Sahibzada Ajit Singh Nagar",2011,994628,247641,33.151982564622948,529253,465375,,
,,,,,,,,
Sangrur,1901,N.A,-,-,N.A.,N.A.,,
Sangrur,1911,N.A,N.A,N.A,N.A.,N.A.,,
Sangrur,1921,N.A,N.A,N.A,N.A.,N.A.,,
Sangrur,1931,N.A,N.A,N.A,N.A.,N.A.,,
Sangrur,1941,N.A,N.A,N.A,N.A.,N.A.,,
Sangrur,1951,565152,N.A,N.A,310491,254661,-,-
Sangrur,1961,696418,131266,23.226671762640848,380548,315870,,
Sangrur,1971,836497,140079,20.114213015746291,454936,381561,,
Sangrur,1981,1026166,189669,22.674199668378964,552304,473862,,
Sangrur,1991,1244677,218511,21.293923205407314,665630,579047,,
Sangrur,2001,1473242,228565,18.363398697011352,787795,685447,,
Sangrur,2011,1655169,181927,12.348751936206,878029,777140,,
,,,,,,,,
Barnala,1901,N.A,-,-,N.A.,N.A.,,
Barnala,1911,N.A,N.A,N.A,N.A.,N.A.,,
Barnala,1921,N.A,N.A,N.A,N.A.,N.A.,,
Barnala,1931,N.A,N.A,N.A,N.A.,N.A.,,
Barnala,1941,N.A,N.A,N.A,N.A.,N.A.,,
Barnala,1951,188189,N.A,N.A,103555,84634,,
Barnala,1961,242368,54179,28.789674210501143,131955,110413,,
Barnala,1971,292463,50095,20.668982703987325,158673,133790,,
Barnala,1981,362663,70200,24.003036281512532,194351,168312,,
Barnala,1991,440772,78109,21.537625839967131,235640,205132,,
Barnala,2001,526931,86159,19.547294292740919,281494,245437,,
Barnala,2011,595527,68596,13.018023232643364,317522,278005,,
